FACTOR, DECIMAL,                                    NAME,     SYMBOL,  EXAMPLE,
10³⁰,   1 000 000 000 000 000 000 000 000 000 000,  Quetta,   Q,       1 Qm,
10²⁷,   1 000 000 000 000 000 000 000 000 000,      Ronna,    R,       1 Rm,
10²⁴,   1 000 000 000 000 000 000 000 000,          Yotta,    Y,       1 Ym,
10²¹,   1 000 000 000 000 000 000 000,              Zetta,    Z,       1 Zm,
10¹⁸,   1 000 000 000 000 000 000,                  Exa,      E,       1 Em,
10¹⁵,   1 000 000 000 000 000,                      Peta,     P,       1 Pm,
10¹²,   1 000 000 000 000,                          Tera,     T,       1 Tm,
10⁹,    1 000 000 000,                              Giga,     G,       1 Gm,
10⁶,    1 000 000,                                  Mega,     M,       1 Mm,
10³,    1 000,                                      Kilo,     k,       1 km,
10⁰,    1,                                          ,         ,        1 m,
10⁻¹,   0.1,                                        Deci,     d,       1 dm,
10⁻²,   0.01,                                       Centi,    c,       1 cm,
10⁻³,   0.001,                                      Milli,    m,       1 mm,
10⁻⁶,   0.000 001,                                  Micro,    µ,       1 µm,
10⁻⁹,   0.000 000 001,                              Nano,     n,       1 nm,
10⁻¹²,  0.000 000 000 001,                          Pico,     p,       1 pm,
10⁻¹⁵,  0.000 000 000 000 001,                      Femto,    f,       1 fm,
10⁻¹⁸,  0.000 000 000 000 000 001,                  Atto,     a,       1 am,
10⁻²¹,  0.000 000 000 000 000 000 001,              Zepto,    z,       1 zm,
10⁻²⁴,  0.000 000 000 000 000 000 000 001,          Yocto,    y,       1 ym,
10⁻²⁷,  0.000 000 000 000 000 000 000 000 001,      Ronto,    r,       1 rm,
10⁻³⁰,  0.000 000 000 000 000 000 000 000 000 001,  Quecto,   q,       1 qm,
